AGE,HS_GPA,Cum_GPA,Comp_sex,comp_lev,Cum GPA BOT group,Ethnicity,CrsHierarchy,Cum Units BOT group,comp_enrol,CatalogNum,Course Number,Class Type,Comp Pell,CourseDpt,Course,ENR_STATUS,EOP_STATUS,ETH_WASC,FGS_all,FresnoSArea,FullTime,GPA_T1,GPAcum_T1,GradeNum,Grade,Grd Points,HSGPA,LCOM Group,MajorDesc,PELL_Recipient,PERIOD,Pass,Semester,Course Number_1,Profile 2,RemEngl,RemMath,SAT_COMP,SAT_MATH,SAT_VERB,SEX,Tot Enrl,Transcript Description
18,2.5-2.9,2.43,Female,Sophomore,2.0-2.4,Hispanic,40364,30-44,Continuing,10,40364,E,Pell Grant Recipient,Psychology,PSYCH 10,1,Y,Hispanic,1,1,1,3,2.647,3,B,12,2.910000086,NA,Pre-Nursing,1,20024,1,F02,40364,2.5-2.9,1,1,670,320,350,F,121,MAJOR: PRE-NURSING
20,3.0-3.4,2.75,Female,Sophomore,2.5-2.9,Hispanic,40353,30-44,Continuing,10,40353,E,Pell Grant Recipient,Psychology,PSYCH 10,1,Y,Hispanic,NA,1,1,3.3,2.912,3,B,12,3.299999952,NA,Liberal Studies-Blended Pgm,1,20024,1,F02,40353,3.0-3.4,1,1,NA,NA,NA,F,144,MAJOR: LIBERAL STUDIES - BLENDED PROGRAM
19,3.5-4.0,3.52,Male,Sophomore,3.5-4.0,Asian,40353,30-44,Continuing,10,40353,E,Pell Grant Recipient,Psychology,PSYCH 10,1,Y,Asian,1,1,1,3.06,3.348,3,B,12,4,NA,Biol-Organismic & General,1,20024,1,F02,40353,3.5-4.0,0,0,NA,NA,NA,M,144,MAJOR: BIOLOGY - ORGANISMIC AND GENERAL BIOLOGY OPTION
19,3.5-4.0,3.16,Male,Sophomore,3.0-3.4,Asian,40353,30-44,Continuing,10,40353,E,Pell Grant Recipient,Psychology,PSYCH 10,1,Y,Asian,1,1,1,3.07,3.048,3,B,12,3.8499999049999998,NA,Liberal Studies-Blended Pgm,1,20024,1,F02,40353,3.5-4.0,1,0,880,530,350,M,144,MAJOR: LIBERAL STUDIES - BLENDED PROGRAM
19,3.0-3.4,3.42,Female,Freshman,3.0-3.4,White,40364,15-29,Continuing,10,40364,E,Not,Psychology,PSYCH 10,1,NA,White,0,0,1,3,3.262,3,B,12,3.170000076,NA,Undeclared                UGRD,0,20024,1,F02,40364,3.0-3.4,0,1,780,320,460,F,121,MAJOR: UNDECLARED
18,3.0-3.4,NA,Female,Freshman,NA,Hispanic,40364,0-14,First-Time,10,40364,E,Not,Psychology,PSYCH 10,5,NA,Hispanic,NA,1,1,2.71,2.588,3,B,12,3.24000001,NA,Sociology,0,20024,1,F02,40364,3.0-3.4,1,1,760,410,350,F,121,MAJOR: SOCIOLOGY
18,3.0-3.4,NA,Female,Freshman,NA,Hispanic,40353,0-14,First-Time,10,40353,E,Not,Psychology,PSYCH 10,5,NA,Hispanic,1,1,1,1.29,1.286,0,F,0,3.220000029,NA,Pre-Psychology,0,20024,0,F02,40353,3.0-3.4,0,0,880,430,450,F,144,MAJOR: PRE-PSYCHOLOGY
18,> 4.0,NA,Female,Freshman,NA,White,40353,15-29,First-Time,10,40353,E,Not,Psychology,PSYCH 10,5,NA,White,NA,1,1,4,4,4,A,16,4.099999905,NA,Pre-Nursing,0,20024,1,F02,40353,> 4.0,0,0,1170,550,620,F,144,MAJOR: PRE-NURSING
18,3.5-4.0,NA,Female,Freshman,NA,White,40364,0-14,First-Time,10,40364,E,Not,Psychology,PSYCH 10,5,NA,White,NA,1,1,3.54,3.538,4,A,16,3.960000038,NA,Pre-Psychology,0,20024,1,F02,40364,3.5-4.0,0,0,1010,520,490,F,121,MAJOR: PRE-PSYCHOLOGY
19,2.5-2.9,NA,Female,Freshman,NA,White,40364,0-14,First-Time,10,40364,E,Not,Psychology,PSYCH 10,5,NA,White,1,1,1,2.7,2.7,3,B,12,2.829999924,NA,Liberal Studies-Blended Pgm,0,20024,1,F02,40364,2.5-2.9,0,1,880,400,480,F,121,MAJOR: LIBERAL STUDIES - BLENDED PROGRAM
19,3.5-4.0,3.91,Female,Sophomore,3.5-4.0,White,40364,30-44,Continuing,10,40364,E,Not,Psychology,PSYCH 10,1,NA,White,0,1,1,4,3.938,4,A,16,4,NA,Comm Disorders - Interpreting,0,20024,1,F02,40364,3.5-4.0,0,0,1260,660,600,F,121,MAJOR: COMMUNICATIVE DISORDERS
20,Unknown,3.75,Female,Junior,3.5-4.0,American Indian,40353,75-89,Continuing,10,40353,E,Not,Psychology,PSYCH 10,1,NA,American Indian,NA,0,1,3.79,3.758,4,A,16,NA,NA,Pre-Physical Therapy,0,20024,1,F02,40353,Unknown,0,0,1040,560,480,F,144,MAJOR: INTERDISCIPLINARY HEALTH AND REHABILITATION SCIENCES - PRE-PHYSICAL THERAPY OPTION
18,3.0-3.4,NA,Male,Freshman,NA,Hispanic,40353,0-14,First-Time,10,40353,E,Not,Psychology,PSYCH 10,5,NA,Hispanic,1,0,1,2.7,2.7,3,B,12,3.4000000950000002,NA,Kinesiology-Exercise Science,0,20024,1,F02,40353,3.0-3.4,1,1,820,470,350,M,144,MAJOR: KINESIOLOGY - EXERCISE SCIENCE OPTION
18,3.5-4.0,NA,Male,Freshman,NA,White,40364,0-14,First-Time,10,40364,E,Not,Psychology,PSYCH 10,5,NA,White,0,1,1,2.92,2.923,2,C,8,3.9000000950000002,NA,Pre-Business,0,20024,1,F02,40364,3.5-4.0,0,1,930,500,430,M,121,MAJOR: PRE-BUSINESS
18,3.0-3.4,NA,Male,Freshman,NA,White,40364,0-14,First-Time,10,40364,E,Not,Psychology,PSYCH 10,5,NA,White,NA,1,1,0.86,0.857,0,F,0,3,NA,Chemistry,0,20024,0,F02,40364,3.0-3.4,1,1,NA,NA,NA,M,121,MAJOR: CHEMISTRY
19,3.5-4.0,4,Male,Sophomore,3.5-4.0,Hispanic,40364,30-44,Continuing,10,40364,E,Not,Psychology,PSYCH 10,1,NA,Hispanic,NA,1,1,3.71,3.915,4,A,16,3.950000048,NA,Undeclared                UGRD,0,20024,1,F02,40364,3.5-4.0,0,0,1040,520,520,M,121,MAJOR: UNDECLARED
19,3.5-4.0,3.24,Male,Sophomore,3.0-3.4,White,40364,30-44,Continuing,10,40364,E,Not,Psychology,PSYCH 10,1,NA,White,0,0,1,2.82,3.125,4,A,16,3.680000067,NA,Undeclared                UGRD,0,20024,1,F02,40364,3.5-4.0,0,0,1090,540,550,M,121,MAJOR: UNDECLARED
18,3.0-3.4,3,Female,Freshman,3.0-3.4,Hispanic,40353,15-29,Continuing,10,40353,E,Pell Grant Recipient,Psychology,PSYCH 10,1,Y,Hispanic,NA,1,1,2,2.429,1,D,4,3.25,NA,Pre-Psychology,1,20024,0,F02,40353,3.0-3.4,0,1,NA,NA,NA,F,144,MAJOR: PRE-PSYCHOLOGY
17,3.5-4.0,NA,Female,Freshman,NA,African American,40364,0-14,First-Time,10,40364,E,Pell Grant Recipient,Psychology,PSYCH 10,5,Y,African American,0,1,1,2.77,2.769,3,B,12,3.5,NA,Health Sci-Comm Health,1,20024,1,F02,40364,3.5-4.0,1,1,NA,NA,NA,F,121,MAJOR: HEALTH SCIENCE - COMMUNITY HEALTH OPTION
18,3.5-4.0,NA,Female,Freshman,NA,Asian,40364,0-14,First-Time,10,40364,E,Pell Grant Recipient,Psychology,PSYCH 10,5,Y,Asian,NA,1,1,3.7,3.7,4,A,16,3.8099999430000002,NA,Pre-Psychology,1,20024,1,F02,40364,3.5-4.0,1,1,750,450,300,F,121,MAJOR: PRE-PSYCHOLOGY
18,3.5-4.0,NA,Female,Freshman,NA,White,40364,0-14,First-Time,10,40364,E,Pell Grant Recipient,Psychology,PSYCH 10,5,Y,White,NA,1,1,4,4,4,A,16,3.8499999049999998,NA,Undeclared                UGRD,1,20024,1,F02,40364,3.5-4.0,0,0,1260,640,620,F,121,MAJOR: UNDECLARED
21,3.5-4.0,3.32,Male,Freshman,3.0-3.4,Asian,40364,15-29,Continuing,10,40364,E,Pell Grant Recipient,Psychology,PSYCH 10,1,Y,Asian,1,1,1,3.54,3.4,4,A,16,3.869999886,NA,Pre-Business,1,20024,1,F02,40364,3.5-4.0,0,1,NA,NA,NA,M,121,MAJOR: PRE-BUSINESS
19,2.0-2.4,3.1,Male,Sophomore,3.0-3.4,African American,40364,30-44,Continuing,10,40364,E,Pell Grant Recipient,Psychology,PSYCH 10,1,Y,African American,1,0,1,0.27,2.341,0,F,0,2.450000048,NA,Health Sci-Env Health/Ind Hyg,1,20024,0,F02,40364,2.0-2.4,1,1,720,360,360,M,121,MAJOR: HEALTH SCIENCE - ENVIRONMENTAL HEALTH SCIENCE/INDUSTRIAL HYGIENE OPTION
18,> 4.0,NA,Female,Freshman,NA,White,40353,0-14,First-Time,10,40353,E,Not,Psychology,PSYCH 10,5,NA,White,0,0,1,4,4,4,A,16,4.2899999619999996,NA,Communication,0,20024,1,F02,40353,> 4.0,0,0,1360,650,710,F,144,MAJOR: COMMUNICATION
18,3.5-4.0,NA,Female,Freshman,NA,White,40364,0-14,First-Time,10,40364,E,Not,Psychology,PSYCH 10,5,NA,White,0,1,1,3.71,3.733,3,B,12,3.670000076,NA,Pre-Nursing,0,20024,1,F02,40364,3.5-4.0,0,0,1140,580,560,F,121,MAJOR: PRE-NURSING
18,3.0-3.4,NA,Female,Freshman,NA,Hispanic,40364,0-14,First-Time,10,40364,E,Pell Grant Recipient,Psychology,PSYCH 10,5,NA,Hispanic,1,0,1,2.6,2.6,2,C,8,3.4000000950000002,NA,Pre-Business,1,20024,1,F02,40364,3.0-3.4,0,1,740,410,330,F,121,MAJOR: PRE-BUSINESS
17,3.0-3.4,NA,Female,Freshman,NA,Pacific Islander,40353,0-14,First-Time,10,40353,E,Not,Psychology,PSYCH 10,5,Y,Pacific Islander,1,0,1,0.23,0.231,0,F,0,3.119999886,NA,Undeclared                UGRD,0,20024,0,F02,40353,3.0-3.4,1,1,780,430,350,F,144,MAJOR: UNDECLARED
19,3.5-4.0,3.43,Female,Freshman,3.0-3.4,White,40353,15-29,Continuing,10,40353,E,Pell Grant Recipient,Psychology,PSYCH 10,1,Y,White,1,1,1,3.08,3.294,4,A,16,3.5999999049999998,NA,Pre-Psychology,1,20024,1,F02,40353,3.5-4.0,0,0,900,420,480,F,144,MAJOR: PRE-PSYCHOLOGY
18,3.5-4.0,NA,Female,Freshman,NA,Hispanic,40353,0-14,First-Time,10,40353,E,Pell Grant Recipient,Psychology,PSYCH 10,5,Y,Hispanic,1,1,1,3.54,3.538,4,A,16,3.779999971,NA,Pre-Business,1,20024,1,F02,40353,3.5-4.0,0,0,NA,NA,NA,F,144,MAJOR: PRE-BUSINESS
18,3.5-4.0,NA,Female,Freshman,NA,Hispanic,40353,0-14,First-Time,10,40353,E,Pell Grant Recipient,Psychology,PSYCH 10,5,Y,Hispanic,1,1,1,3.46,3.462,3,B,12,3.5999999049999998,NA,Liberal Studies-Blended Pgm,1,20024,1,F02,40353,3.5-4.0,0,1,1000,480,520,F,144,MAJOR: LIBERAL STUDIES - BLENDED PROGRAM
18,3.0-3.4,NA,Female,Freshman,NA,Unknown,40353,0-14,First-Time,10,40353,E,Pell Grant Recipient,Psychology,PSYCH 10,5,Y,Unknown,NA,1,1,1.62,1.615,0,F,0,3.450000048,NA,Ag Ed-Teacher Prep,1,20024,0,F02,40353,3.0-3.4,0,0,1060,510,550,F,144,MAJOR: AGRICULTURAL EDUCATION - TEACHER PREPARATION OPTION
18,3.5-4.0,NA,Female,Freshman,NA,White,40353,0-14,First-Time,10,40353,E,Not,Psychology,PSYCH 10,5,NA,White,NA,1,1,3.23,2.889,3,B,12,3.529999971,NA,English,0,20024,1,F02,40353,3.5-4.0,0,0,1220,580,640,F,144,MAJOR: ENGLISH
18,3.0-3.4,NA,Female,Freshman,NA,White,40353,0-14,First-Time,10,40353,E,Not,Psychology,PSYCH 10,5,NA,White,0,0,1,3.64,3.636,3,B,12,3.289999962,NA,Pre-Nursing,0,20024,1,F02,40353,3.0-3.4,0,1,800,430,370,F,144,MAJOR: PRE-NURSING
19,2.5-2.9,NA,Male,Freshman,NA,White,40364,15-29,Transfer,10,40364,E,Not,Psychology,PSYCH 10,4,NA,White,0,0,1,2.82,2.758,3,B,12,2.7699999809999998,NA,Crim-Victimology,0,20024,1,F02,40364,2.5-2.9,0,0,1000,450,550,M,121,MAJOR: CRIMINOLOGY - VICTIMOLOGY OPTION
18,2.5-2.9,NA,Male,Freshman,NA,Hispanic,40364,0-14,First-Time,10,40364,E,Not,Psychology,PSYCH 10,5,NA,Hispanic,0,0,1,3.77,3.769,4,A,16,2.9000000950000002,NA,Undeclared                UGRD,0,20024,1,F02,40364,2.5-2.9,0,1,1020,470,550,M,121,MAJOR: UNDECLARED
20,3.5-4.0,NA,Female,Freshman,NA,White,40364,0-14,First-Time,10,40364,E,Pell Grant Recipient,Psychology,PSYCH 10,5,NA,White,0,0,0,1.46,1.455,0,F,0,3.5,NA,Pre-Business,1,20024,0,F02,40364,3.5-4.0,1,1,NA,NA,NA,F,121,MAJOR: PRE-BUSINESS
17,3.0-3.4,NA,Female,Freshman,NA,African American,40353,0-14,First-Time,10,40353,E,Not,Psychology,PSYCH 10,5,Y,African American,1,0,1,3.67,3.667,NA,CR,0,3.130000114,NA,Crim-Corrections,0,20024,1,F02,40353,3.0-3.4,1,0,840,460,380,F,144,MAJOR: CRIMINOLOGY - CORRECTIONS OPTION
18,3.0-3.4,NA,Female,Freshman,NA,Unknown,40353,0-14,First-Time,10,40353,E,Not,Psychology,PSYCH 10,5,Y,Unknown,1,0,1,2.44,2.438,3,B,12,3.00999999,NA,Undeclared                UGRD,0,20024,1,F02,40353,3.0-3.4,1,1,NA,NA,NA,F,144,MAJOR: UNDECLARED
19,3.0-3.4,NA,Male,Freshman,NA,White,40353,0-14,First-Time,10,40353,E,Not,Psychology,PSYCH 10,5,NA,White,0,1,1,2.94,2.944,4,A,16,3.460000038,NA,Civil Engineering,0,20024,1,F02,40353,3.0-3.4,1,0,1110,570,540,M,144,MAJOR: CIVIL ENGINEERING
20,Unknown,3.45,Female,Freshman,3.0-3.4,Non-Resident Alien,40364,15-29,Continuing,10,40364,E,Not,Psychology,PSYCH 10,1,NA,Non-Resident Alien,NA,0,1,3.59,3.521,3,B,12,NA,NA,Undeclared                UGRD,0,20024,1,F02,40364,Unknown,1,0,930,550,380,F,121,MAJOR: UNDECLARED
18,3.0-3.4,NA,Female,Freshman,NA,Unknown,40364,0-14,First-Time,10,40364,E,Not,Psychology,PSYCH 10,5,NA,Unknown,1,1,1,2.77,2.769,3,B,12,3.329999924,NA,Crim-Victimology,0,20024,1,F02,40364,3.0-3.4,1,1,930,450,480,F,121,MAJOR: CRIMINOLOGY - VICTIMOLOGY OPTION
18,2.5-2.9,NA,Male,Freshman,NA,White,40353,0-14,First-Time,10,40353,E,Not,Psychology,PSYCH 10,5,NA,White,0,1,1,1.4,1.4,2,C,8,2.660000086,NA,Crim-Law Enforcement,0,20024,1,F02,40353,2.5-2.9,1,1,980,490,490,M,144,MAJOR: CRIMINOLOGY - LAW ENFORCEMENT OPTION
18,2.5-2.9,NA,Female,Freshman,NA,Hispanic,40364,0-14,First-Time,10,40364,E,Pell Grant Recipient,Psychology,PSYCH 10,5,Y,Hispanic,1,0,0,2.3,2.3,2,C,8,2.7699999809999998,NA,Crim-Law Enforcement,1,20024,1,F02,40364,2.5-2.9,1,1,790,390,400,F,121,MAJOR: CRIMINOLOGY - LAW ENFORCEMENT OPTION
20,Unknown,2.68,Female,Junior,2.5-2.9,White,40353,60-74,Continuing,10,40353,E,Not,Psychology,PSYCH 10,1,NA,White,1,0,1,2.44,2.833,2,C,8,NA,NA,Kinesiology-Exercise Science,0,20024,1,F02,40353,Unknown,0,0,1180,590,590,F,144,MAJOR: KINESIOLOGY - EXERCISE SCIENCE OPTION
33,Unknown,2,Male,PBAC,2.0-2.4,White,40353,0-14,Continuing,10,40353,E,Not,Psychology,PSYCH 10,1,NA,White,1,1,1,2.55,2.353,4,A,16,NA,NA,Undeclared,0,20024,1,F02,40353,Unknown,0,0,NA,NA,NA,M,144,MAJOR: UNDECLARED
19,3.5-4.0,3.33,Female,Sophomore,3.0-3.4,White,40353,30-44,Continuing,10,40353,E,Not,Psychology,PSYCH 10,1,NA,White,1,0,1,3.46,3.37,3,B,12,3.9000000950000002,NA,Pre-Nursing,0,20024,1,F02,40353,3.5-4.0,0,0,990,510,480,F,144,MAJOR: PRE-NURSING
23,Unknown,2.44,Male,Senior,2.0-2.4,Asian,40364,140+,Continuing,10,40364,E,Not,Psychology,PSYCH 10,1,NA,Asian,0,0,1,2.79,2.349,3,B,12,NA,NA,Bus Ad-Real Est/Urb Lnd Econ,0,20024,1,F02,40364,Unknown,0,1,NA,NA,NA,M,121,MAJOR: BUSINESS ADMINISTRATION - REAL ESTATE AND URBAN LAND ECONOMICS OPTION
27,Unknown,2.84,Female,Senior,2.5-2.9,White,40364,120-139,Continuing,10,40364,E,Pell Grant Recipient,Psychology,PSYCH 10,1,NA,White,0,0,1,3.06,2.913,3,B,12,NA,NA,* Pe-Exercise Science,1,20024,1,F02,40364,Unknown,0,0,NA,NA,NA,F,121,MAJOR: PHYSICAL EDUCATION - EXERCISE SCIENCE OPTION
19,3.0-3.4,2.67,Male,Freshman,2.5-2.9,Asian,40353,15-29,Continuing,10,40353,E,Pell Grant Recipient,Psychology,PSYCH 10,1,Y,Asian,1,0,1,2.56,2.628,2,C,8,3.069999933,NA,History,1,20024,1,F02,40353,3.0-3.4,1,1,710,360,350,M,144,MAJOR: HISTORY
18,3.5-4.0,NA,Female,Freshman,NA,Unknown,40364,0-14,First-Time,10,40364,E,Not,Psychology,PSYCH 10,5,NA,Unknown,NA,1,1,0.86,0.857,0,F,0,4,NA,Undeclared                UGRD,0,20024,0,F02,40364,3.5-4.0,1,0,NA,NA,NA,F,121,MAJOR: UNDECLARED
18,3.5-4.0,NA,Female,Freshman,NA,White,40353,0-14,First-Time,10,40353,E,Not,Psychology,PSYCH 10,5,NA,White,1,1,1,3.57,3.571,4,A,16,3.920000076,NA,Kinesiology-General Kines,0,20024,1,F02,40353,3.5-4.0,1,1,950,480,470,F,144,MAJOR: KINESIOLOGY - GENERAL KINESIOLOGY OPTION
18,3.5-4.0,NA,Female,Freshman,NA,White,40364,15-29,First-Time,10,40364,E,Not,Psychology,PSYCH 10,5,Y,White,0,1,1,3.4,3.4,3,B,12,3.779999971,NA,Pre-Psychology,0,20024,1,F02,40364,3.5-4.0,0,0,990,500,490,F,121,MAJOR: PRE-PSYCHOLOGY
18,2.5-2.9,NA,Female,Freshman,NA,Asian,40353,0-14,First-Time,10,40353,E,Not,Psychology,PSYCH 10,5,NA,Asian,1,0,1,3.21,3.214,3,B,12,2.819999933,NA,Pre-Psychology,0,20024,1,F02,40353,2.5-2.9,1,0,940,490,450,F,144,MAJOR: PRE-PSYCHOLOGY
18,2.5-2.9,NA,Female,Freshman,NA,Asian,40353,0-14,First-Time,10,40353,E,Not,Psychology,PSYCH 10,5,NA,Asian,0,1,1,2.64,2.643,3,B,12,2.6500000950000002,NA,Undeclared                UGRD,0,20024,1,F02,40353,2.5-2.9,1,1,980,530,450,F,144,MAJOR: UNDECLARED
18,3.5-4.0,NA,Female,Freshman,NA,White,40353,0-14,First-Time,10,40353,E,Not,Psychology,PSYCH 10,5,NA,White,NA,1,1,3.65,3.55,4,A,16,3.5999999049999998,NA,Pre-Nursing,0,20024,1,F02,40353,3.5-4.0,1,1,1040,530,510,F,144,MAJOR: PRE-NURSING
18,2.5-2.9,NA,Female,Freshman,NA,White,40353,0-14,First-Time,10,40353,E,Not,Psychology,PSYCH 10,5,NA,White,NA,0,1,3.44,3.438,4,A,16,2.890000105,NA,Pre-Nursing,0,20024,1,F02,40353,2.5-2.9,0,0,1080,550,530,F,144,MAJOR: PRE-NURSING
18,2.5-2.9,NA,Female,Freshman,NA,White,40353,0-14,First-Time,10,40353,E,Not,Psychology,PSYCH 10,5,NA,White,1,1,1,2.08,2.083,2,C,8,2.670000076,NA,Pre-Psychology,0,20024,1,F02,40353,2.5-2.9,1,1,860,440,420,F,144,MAJOR: PRE-PSYCHOLOGY
21,Unknown,3.05,Female,Senior,3.0-3.4,Hispanic,40353,90-104,Continuing,10,40353,E,Not,Psychology,PSYCH 10,1,NA,Hispanic,1,1,1,2.93,3.03,3,B,12,NA,NA,Biol-Organismic & General,0,20024,1,F02,40353,Unknown,0,0,890,490,400,F,144,MAJOR: BIOLOGY - ORGANISMIC AND GENERAL BIOLOGY OPTION
21,> 4.0,3.59,Female,Senior,3.5-4.0,Unknown,40364,90-104,Continuing,10,40364,E,Not,Psychology,PSYCH 10,1,NA,Unknown,NA,1,1,4,3.647,4,A,16,4.199999809,NA,Nursing,0,20024,1,F02,40364,> 4.0,0,0,1210,560,650,F,121,MAJOR: NURSING
23,Unknown,2.73,Male,Senior,2.5-2.9,Unknown,40364,90-104,Continuing,10,40364,E,Not,Psychology,PSYCH 10,1,NA,Unknown,1,1,1,4,2.812,4,A,16,NA,NA,* Liberal Studies,0,20024,1,F02,40364,Unknown,0,0,NA,NA,NA,M,121,MAJOR: LIBERAL STUDIES
33,Unknown,NA,Female,PBAC,NA,Unknown,40353,0-14,Transfer,10,40353,E,Not,Psychology,PSYCH 10,4,NA,Unknown,NA,1,1,3.43,3.36,4,A,16,NA,NA,Food & Nutr Sciences-D 2ND-BAC,0,20024,1,F02,40353,Unknown,0,0,NA,NA,NA,F,144,MAJOR: FOOD AND NUTRITIONAL SCIENCES - DIETETICS AND FOOD ADMINISTRATION OPTION
18,2.5-2.9,NA,Male,Freshman,NA,Hispanic,40353,0-14,First-Time,10,40353,E,Not,Psychology,PSYCH 10,5,NA,Hispanic,1,0,1,0.56,0.563,0,F,0,2.630000114,NA,Undeclared                UGRD,0,20024,0,F02,40353,2.5-2.9,0,0,1110,520,590,M,144,MAJOR: UNDECLARED
21,Unknown,NA,Male,Sophomore,NA,White,40364,45-59,Transfer,10,40364,E,Not,Psychology,PSYCH 10,4,NA,White,1,0,1,3,3.145,3,B,12,NA,NA,Pre-Physical Therapy,0,20024,1,F02,40364,Unknown,0,0,NA,NA,NA,M,121,MAJOR: INTERDISCIPLINARY HEALTH AND REHABILITATION SCIENCES - PRE-PHYSICAL THERAPY OPTION
24,Unknown,2.7,Male,Senior,2.5-2.9,White,40353,105-119,Continuing,10,40353,E,Not,Psychology,PSYCH 10,1,NA,White,NA,1,1,3.29,2.705,3,B,12,NA,NA,Business - Restricted,0,20024,1,F02,40353,Unknown,0,0,NA,NA,NA,M,144,MAJOR: BUSINESS - RESTRICTED
17,3.0-3.4,NA,Female,Freshman,NA,Asian,40364,0-14,First-Time,10,40364,E,Pell Grant Recipient,Psychology,PSYCH 10,5,NA,Asian,1,1,1,3.69,3.692,3,B,12,3.119999886,NA,Undeclared                UGRD,1,20024,1,F02,40364,3.0-3.4,1,0,930,490,440,F,121,MAJOR: UNDECLARED
38,Unknown,2.51,Female,Senior,2.5-2.9,African American,40364,90-104,Continuing,10,40364,E,Pell Grant Recipient,Psychology,PSYCH 10,1,NA,African American,NA,1,0,2.57,2.516,3,B,12,NA,NA,* Liberal Studies,1,20024,1,F02,40364,Unknown,0,0,NA,NA,NA,F,121,MAJOR: LIBERAL STUDIES
