AGE,HS_GPA,Cum_GPA,Comp_sex,comp_lev,Cum GPA BOT group,Ethnicity,CrsHierarchy,Cum Units BOT group,comp_enrol,CatalogNum,Course Number,Class Type,Comp Pell,CourseDpt,Course,ENR_STATUS,EOP_STATUS,ETH_WASC,FGS_all,FresnoSArea,FullTime,GPA_T1,GPAcum_T1,GradeNum,Grade,Grd Points,HSGPA,INSTI_NAME,LCOM Group,MajorDesc,PELL_Recipient,PERIOD,Pass,Semester,Course Number,Profile 2,RemEngl,RemMath,SAT_COMP,SAT_MATH,SAT_VERB,SEX,Tot Enrl,Transcript Description
19,3.0-3.4,3.67,Female,Freshman,3.5-4.0,Hispanic,74798,15-29,Continuing,10,74798,E,Pell Grant Recipient,Psychology,PSYCH 10,1,N,Hispanic,1,1,1,3.75,3.7,3,B,9,3.450000048,Duncan (Erma) Polytechnical High,,Pre-Nursing,1,20104,1,F10,74798,3.0-3.4,1,1,,,,F,256,MAJOR: PRE-NURSING
19,3.5-4.0,3.46,Female,Freshman,3.0-3.4,Hispanic,74798,15-29,Continuing,10,74798,E,Pell Grant Recipient,Psychology,PSYCH 10,1,N,Hispanic,1,1,1,3.6,3.543,3,B,9,3.890000105,Sunnyside High,,Health Sci-Comm Health,1,20104,1,F10,74798,3.5-4.0,1,1,790,400,390,F,256,MAJOR: HEALTH SCIENCE - COMMUNITY HEALTH OPTION
19,3.0-3.4,3.46,Female,Freshman,3.0-3.4,Hispanic,74798,15-29,Continuing,10,74798,E,Pell Grant Recipient,Psychology,PSYCH 10,1,N,Hispanic,1,1,1,2.6,3.163,2,C,6,3.420000076,El Diamante High School,,Pre-Occupational Therapy,1,20104,1,F10,74798,3.0-3.4,0,1,920,430,490,F,256,MAJOR: INTERDISCIPLINARY HEALTH AND REHABILITATION SCIENCES - PRE-OCCUPATIONAL THERAPY OPTION
18,3.0-3.4,3.5,Female,Freshman,3.5-4.0,Hispanic,74798,15-29,Continuing,10,74798,E,Pell Grant Recipient,Psychology,PSYCH 10,1,N,Hispanic,0,1,1,2.92,3.258,2,C,6,3.150000095,Dinuba High,,Pre-Nursing,1,20104,1,F10,74798,3.0-3.4,1,1,910,490,420,F,256,MAJOR: PRE-NURSING
19,3.0-3.4,2.54,Female,Freshman,2.5-2.9,Hispanic,75077,15-29,Continuing,10,75077,E,Pell Grant Recipient,Psychology,PSYCH 10,1,N,Hispanic,1,1,1,3.4,2.854,2,C,6,3.400000095,Madera South High,,Pre-Nursing,1,20104,1,F10,75077,3.0-3.4,1,0,1030,510,520,F,254,MAJOR: PRE-NURSING
19,3.0-3.4,3,Female,Freshman,3.0-3.4,Hispanic,74798,15-29,Continuing,10,74798,E,Pell Grant Recipient,Psychology,PSYCH 10,1,N,Hispanic,1,1,1,2,2.667,2,C,6,3,Fresno High,,Pre-Nursing,1,20104,1,F10,74798,3.0-3.4,1,1,,,,F,256,MAJOR: PRE-NURSING
19,3.0-3.4,2.57,Female,Freshman,2.5-2.9,Hispanic,75077,15-29,Continuing,10,75077,E,Pell Grant Recipient,Psychology,PSYCH 10,1,N,Hispanic,1,1,1,1.6,2.167,1,D,3,3.140000105,Central High East Campus,,Pre-Nursing,1,20104,0,F10,75077,3.0-3.4,1,1,,,,F,254,MAJOR: PRE-NURSING
19,2.5-2.9,2.83,Female,Freshman,2.5-2.9,Hispanic,75077,15-29,Continuing,10,75077,E,Pell Grant Recipient,Psychology,PSYCH 10,1,N,Hispanic,1,0,1,2.36,2.625,1,D,3,2.619999886,Arvin High,,Pre-Nursing,1,20104,0,F10,75077,2.5-2.9,1,1,750,370,380,F,254,MAJOR: PRE-NURSING
19,3.5-4.0,3.57,Female,Freshman,3.5-4.0,Hispanic,74798,15-29,Continuing,10,74798,E,Pell Grant Recipient,Psychology,PSYCH 10,1,N,Hispanic,1,1,1,3.4,3.538,3,B,9,3.900000095,Central High East Campus,,Crim-Victimology,1,20104,1,F10,74798,3.5-4.0,1,1,850,430,420,F,256,MAJOR: CRIMINOLOGY - VICTIMOLOGY OPTION
19,2.5-2.9,2.29,Female,Freshman,2.0-2.4,Hispanic,75077,15-29,Continuing,10,75077,E,Pell Grant Recipient,Psychology,PSYCH 10,1,N,Hispanic,1,1,1,2,2.3,0,F,0,2.940000057,Tranquillity High,,Crim-Forensic Behavioral Scien,1,20104,0,F10,75077,2.5-2.9,1,0,810,440,370,F,254,CRIMINOLOGY - FORENSIC BEHAVIORAL SCIENCES
19,2.5-2.9,1.9,Female,Freshman,1.5-1.9,Hispanic,75077,15-29,Continuing,10,75077,E,Pell Grant Recipient,Psychology,PSYCH 10,1,N,Hispanic,1,0,1,2.5,2.125,1,D,3,2.730000019,St. Bonaventure High,,Pre-Business,1,20104,0,F10,75077,2.5-2.9,0,1,940,460,480,F,254,MAJOR: PRE-BUSINESS
19,3.5-4.0,3.25,Female,Freshman,3.0-3.4,Hispanic,74798,15-29,Continuing,10,74798,E,Pell Grant Recipient,Psychology,PSYCH 10,1,N,Hispanic,1,1,1,3.54,3.351,3,B,9,3.829999924,Selma High,,Undeclared                UGRD,1,20104,1,F10,74798,3.5-4.0,1,0,980,520,460,F,256,MAJOR: UNDECLARED
19,3.0-3.4,1.29,Female,Freshman,1.0-1.4,Hispanic,74798,15-29,Continuing,10,74798,E,Pell Grant Recipient,Psychology,PSYCH 10,1,N,Hispanic,1,1,1,0,0.818,0,F,0,3.029999971,Roosevelt High,,Undeclared                UGRD,1,20104,0,F10,74798,3.0-3.4,1,1,770,360,410,F,256,MAJOR: UNDECLARED
19,3.0-3.4,2.79,Female,Freshman,2.5-2.9,White,75077,15-29,Continuing,10,75077,E,Pell Grant Recipient,Psychology,PSYCH 10,1,N,White,1,1,1,2,2.484,1,D,3,3.440000057,Clovis High,,Pre-Nursing,1,20104,0,F10,75077,3.0-3.4,1,1,870,420,450,F,254,MAJOR: PRE-NURSING
19,3.0-3.4,1.88,Female,Freshman,1.5-1.9,White,75077,15-29,Continuing,10,75077,E,Pell Grant Recipient,Psychology,PSYCH 10,1,N,White,1,1,1,3,2.25,2,C,6,3.289999962,Buchanan High,,*Biol-Physiology & Anatomy,1,20104,1,F10,75077,3.0-3.4,0,0,1020,460,560,F,254,MAJOR: BIOLOGY - PHYSIOLOGY AND ANATOMY OPTION
19,2.5-2.9,3.52,Female,Sophomore,3.5-4.0,Hispanic,75077,30-44,Continuing,10,75077,E,Pell Grant Recipient,Psychology,PSYCH 10,1,N,Hispanic,1,1,1,3.2,3.4,2,C,6,2.890000105,Edison High,,Social Work,1,20104,1,F10,75077,2.5-2.9,1,1,600,260,340,F,254,MAJOR: SOCIAL WORK
21,2.5-2.9,1.72,Female,Sophomore,1.5-1.9,Hispanic,74798,30-44,Continuing,10,74798,E,Pell Grant Recipient,Psychology,PSYCH 10,1,N,Hispanic,1,1,1,1.75,1.729,1,D,3,2.950000048,Fresno City College,,Athletic Training,1,20104,0,F10,74798,2.5-2.9,0,1,720,420,300,F,256,MAJOR:  ATHLETIC TRAINING
21,3.0-3.4,2.32,Female,Sophomore,2.0-2.4,Hispanic,74798,30-44,Continuing,10,74798,E,Pell Grant Recipient,Psychology,PSYCH 10,1,N,Hispanic,1,1,1,2.85,2.588,2,C,6,3.380000114,Tranquillity High,,Undeclared                UGRD,1,20104,1,F10,74798,3.0-3.4,1,1,680,430,250,F,256,MAJOR: UNDECLARED
20,3.0-3.4,3.38,Female,Sophomore,3.0-3.4,Unknown,74798,30-44,Continuing,10,74798,E,Pell Grant Recipient,Psychology,PSYCH 10,1,N,Unknown,1,1,1,3,3.231,3,B,9,3.089999914,Hallmark Charter,,Undeclared                UGRD,1,20104,1,F10,74798,3.0-3.4,0,1,1070,460,610,F,256,MAJOR: UNDECLARED
19,3.0-3.4,2.78,Female,Sophomore,2.5-2.9,White,75077,30-44,Continuing,10,75077,E,Pell Grant Recipient,Psychology,PSYCH 10,1,N,White,,1,1,2.75,2.767,3,B,9,3.089999914,Herbert Hoover High,,*Biol-Physiology & Anatomy,1,20104,1,F10,75077,3.0-3.4,1,1,,,,F,254,MAJOR: BIOLOGY - PHYSIOLOGY AND ANATOMY OPTION
18,3.0-3.4,3.37,Male,Freshman,3.0-3.4,African American,74798,15-29,Continuing,10,74798,E,Pell Grant Recipient,Psychology,PSYCH 10,1,N,African American,1,0,1,3.8,3.559,3,B,9,3.460000038,William J 'Pete' Knight High School,,Athletic Training,1,20104,1,F10,74798,3.0-3.4,1,0,980,500,480,M,256,MAJOR:  ATHLETIC TRAINING
19,3.0-3.4,2.33,Male,Freshman,2.0-2.4,Asian,75077,15-29,Continuing,10,75077,E,Pell Grant Recipient,Psychology,PSYCH 10,1,N,Asian,1,1,1,1.31,2.107,0,F,0,3.099999905,Duncan (Erma) Polytechnical High,,Pre-Business,1,20104,0,F10,75077,3.0-3.4,1,1,,,,M,254,MAJOR: PRE-BUSINESS
19,3.0-3.4,3.57,Male,Freshman,3.5-4.0,Hispanic,75077,15-29,Continuing,10,75077,E,Pell Grant Recipient,Psychology,PSYCH 10,1,N,Hispanic,1,0,1,2.81,3.243,1,D,3,3.25999999,Castle Park Senior High,,Pre-Physical Therapy,1,20104,0,F10,75077,3.0-3.4,1,1,870,450,420,M,254,MAJOR: INTERDISCIPLINARY HEALTH AND REHABILITATION SCIENCES - PRE-PHYSICAL THERAPY OPTION
19,3.5-4.0,2.67,Male,Freshman,2.5-2.9,Hispanic,75077,15-29,Continuing,10,75077,E,Pell Grant Recipient,Psychology,PSYCH 10,1,N,Hispanic,1,1,1,3.25,2.861,3,B,9,3.859999895,Corcoran High,,Electrical Engineering,1,20104,1,F10,75077,3.5-4.0,0,0,1150,580,570,M,254,MAJOR: ELECTRICAL ENGINEERING
19,3.0-3.4,3.14,Male,Freshman,3.0-3.4,White,75077,15-29,Continuing,10,75077,E,Pell Grant Recipient,Psychology,PSYCH 10,1,N,White,,0,1,2.8,3,2,C,6,3.359999895,Simi Valley High,,Undeclared                UGRD,1,20104,1,F10,75077,3.0-3.4,0,0,1090,560,530,M,254,MAJOR: UNDECLARED
18,3.5-4.0,3.25,Male,Sophomore,3.0-3.4,Asian,75077,30-44,Continuing,10,75077,E,Pell Grant Recipient,Psychology,PSYCH 10,1,N,Asian,1,0,1,3.19,3.225,2,C,6,3.730000019,Cesar E. Chavez High,,Mathematics,1,20104,1,F10,75077,3.5-4.0,1,0,910,490,420,M,254,MAJOR: MATHEMATICS
18,3.5-4.0,2.8,Male,Sophomore,2.5-2.9,Hispanic,75077,30-44,Continuing,10,75077,E,Pell Grant Recipient,Psychology,PSYCH 10,1,N,Hispanic,,1,1,3,2.867,2,C,6,3.680000067,Roosevelt High,,English Education,1,20104,1,F10,75077,3.5-4.0,1,1,660,320,340,M,254,MAJOR: ENGLISH - ENGLISH EDUCATION OPTION
19,3.5-4.0,3.31,Male,Sophomore,3.0-3.4,Hispanic,74798,30-44,Continuing,10,74798,E,Pell Grant Recipient,Psychology,PSYCH 10,1,N,Hispanic,1,1,1,1.44,2.771,1,D,3,3.519999981,Sanger High,,Food & Nutr Sciences-Diet & Fd,1,20104,0,F10,74798,3.5-4.0,0,0,1110,540,570,M,256,MAJOR: FOOD AND NUTRITIONAL SCIENCES - DIETETICS AND FOOD ADMINISTRATION OPTION
19,3.0-3.4,2.35,Male,Sophomore,2.0-2.4,Hispanic,74798,30-44,Continuing,10,74798,E,Pell Grant Recipient,Psychology,PSYCH 10,1,N,Hispanic,1,1,1,0.33,1.829,1,D,3,3.309999943,Madera High North,,Civil Engineering,1,20104,0,F10,74798,3.0-3.4,1,0,,,,M,256,MAJOR: CIVIL ENGINEERING
20,2.5-2.9,2.17,Male,Sophomore,2.0-2.4,Hispanic,74798,30-44,Continuing,10,74798,E,Pell Grant Recipient,Psychology,PSYCH 10,1,N,Hispanic,1,1,0,1.25,2.073,0,F,0,2.789999962,San Joaquin Memorial High,,Undeclared                UGRD,1,20104,0,F10,74798,2.5-2.9,1,1,740,420,320,M,256,MAJOR: UNDECLARED
19,3.5-4.0,4,Male,Sophomore,3.5-4.0,White,74798,30-44,Continuing,10,74798,E,Pell Grant Recipient,Psychology,PSYCH 10,1,N,White,,1,1,4,4,4,A,12,3.799999952,Clovis West High,,Economics,1,20104,1,F10,74798,3.5-4.0,0,0,1130,560,570,M,256,MAJOR: ECONOMICS
19,2.5-2.9,2.04,Male,Sophomore,2.0-2.4,White,74798,30-44,Continuing,10,74798,E,Pell Grant Recipient,Psychology,PSYCH 10,1,N,White,0,1,1,3.75,2.611,3,B,9,2.910000086,Clovis High,,*Biology-Ecol/ Evol & Orgnsmc,1,20104,1,F10,74798,2.5-2.9,0,0,1080,550,530,M,256,"MAJOR: BIOLOGY-ECOLOGY, EVOLUTIONARY, AND ORGANISMAL BIOLOGY OPTION"
19,3.0-3.4,2.61,Male,Sophomore,2.5-2.9,White,75077,30-44,Continuing,10,75077,E,Pell Grant Recipient,Psychology,PSYCH 10,1,N,White,1,1,1,3.21,2.9,3,B,9,3.180000067,Clovis East High,,Undeclared                UGRD,1,20104,1,F10,75077,3.0-3.4,1,0,940,510,430,M,254,MAJOR: UNDECLARED
19,3.0-3.4,3.17,Female,Freshman,3.0-3.4,Asian,74798,15-29,Continuing,10,74798,E,Pell Grant Recipient,Psychology,PSYCH 10,1,Y,Asian,1,1,1,3.25,3.2,3,B,9,3.190000057,Duncan (Erma) Polytechnical High,,Pre-Nursing,1,20104,1,F10,74798,3.0-3.4,1,1,920,470,450,F,256,MAJOR: PRE-NURSING
19,2.5-2.9,1.88,Female,Freshman,1.5-1.9,Asian,74798,15-29,Continuing,10,74798,E,Pell Grant Recipient,Psychology,PSYCH 10,1,Y,Asian,1,1,1,1,1.583,0,F,0,2.75,Roosevelt High,,Pre-Nursing,1,20104,0,F10,74798,2.5-2.9,1,1,640,370,270,F,256,MAJOR: PRE-NURSING
20,2.5-2.9,2.17,Female,Freshman,2.0-2.4,Asian,74798,15-29,Continuing,10,74798,E,Pell Grant Recipient,Psychology,PSYCH 10,1,Y,Asian,1,1,1,1,1.8,0,F,0,2.720000029,Clovis East High,,Pre-Nursing,1,20104,0,F10,74798,2.5-2.9,1,1,710,430,280,F,256,MAJOR: PRE-NURSING
19,> 4.0,4,Female,Freshman,3.5-4.0,Asian,74798,15-29,Continuing,10,74798,E,Pell Grant Recipient,Psychology,PSYCH 10,1,Y,Asian,1,1,1,3,3.667,3,B,9,4.039999962,Clovis East High,,Crim-Forensic Behavioral Scien,1,20104,1,F10,74798,> 4.0,1,1,,,,F,256,CRIMINOLOGY - FORENSIC BEHAVIORAL SCIENCES
19,2.5-2.9,2.67,Female,Freshman,2.5-2.9,Asian,74798,15-29,Continuing,10,74798,E,Pell Grant Recipient,Psychology,PSYCH 10,1,Y,Asian,1,1,1,1.75,2.143,1,D,3,2.930000067,Clovis East High,,Liberal Studies-Blended Pgm,1,20104,0,F10,74798,2.5-2.9,1,1,770,400,370,F,256,MAJOR: LIBERAL STUDIES - BLENDED PROGRAM
19,3.0-3.4,2.5,Female,Freshman,2.5-2.9,Asian,75077,15-29,Continuing,10,75077,E,Pell Grant Recipient,Psychology,PSYCH 10,1,Y,Asian,1,1,1,1.5,2.333,0,F,0,3.400000095,Herbert Hoover High,,Undeclared                UGRD,1,20104,0,F10,75077,3.0-3.4,1,1,810,390,420,F,254,MAJOR: UNDECLARED
19,2.5-2.9,2.5,Female,Freshman,2.5-2.9,Hispanic,74798,15-29,Continuing,10,74798,E,Pell Grant Recipient,Psychology,PSYCH 10,1,Y,Hispanic,1,0,1,1.39,2.032,1,D,3,2.880000114,Paso Robles High,,Pre-Nursing,1,20104,0,F10,74798,2.5-2.9,1,1,790,400,390,F,256,MAJOR: PRE-NURSING
20,3.5-4.0,3.57,Female,Sophomore,3.5-4.0,Asian,74798,30-44,Continuing,10,74798,E,Pell Grant Recipient,Psychology,PSYCH 10,1,Y,Asian,1,1,1,3.5,3.55,2,C,6,3.799999952,Washington High,,Pre-Nursing,1,20104,1,F10,74798,3.5-4.0,1,0,950,550,400,F,256,MAJOR: PRE-NURSING
18,3.0-3.4,3.78,Female,Sophomore,3.5-4.0,Asian,75077,30-44,Continuing,10,75077,E,Pell Grant Recipient,Psychology,PSYCH 10,1,Y,Asian,1,1,1,3,3.5,2,C,6,3.329999924,Edison High,,Pre-Psychology,1,20104,1,F10,75077,3.0-3.4,1,0,860,470,390,F,254,MAJOR: PRE-PSYCHOLOGY
19,3.5-4.0,3.43,Female,Sophomore,3.0-3.4,Hispanic,75077,30-44,Continuing,10,75077,E,Pell Grant Recipient,Psychology,PSYCH 10,1,Y,Hispanic,1,1,1,3,3.265,3,B,9,3.599999905,Corcoran High,,Spanish,1,20104,1,F10,75077,3.5-4.0,1,1,810,410,400,F,254,MAJOR: SPANISH
18,3.5-4.0,3.19,Female,Sophomore,3.0-3.4,Hispanic,75077,30-44,Continuing,10,75077,E,Pell Grant Recipient,Psychology,PSYCH 10,1,Y,Hispanic,1,1,1,3,3.14,2,C,6,3.5,Reedley High,,Pre-Nursing,1,20104,1,F10,75077,3.5-4.0,1,1,880,420,460,F,254,MAJOR: PRE-NURSING
19,3.5-4.0,3.88,Male,Freshman,3.5-4.0,Asian,75077,15-29,Continuing,10,75077,E,Pell Grant Recipient,Psychology,PSYCH 10,1,Y,Asian,1,1,1,2.67,3.41,3,B,9,3.700000048,Washington High,,Chemistry,1,20104,1,F10,75077,3.5-4.0,1,0,850,440,410,M,254,MAJOR: CHEMISTRY
19,3.0-3.4,1.82,Male,Freshman,1.5-1.9,Asian,74798,15-29,Continuing,10,74798,E,Pell Grant Recipient,Psychology,PSYCH 10,1,Y,Asian,1,1,1,2.08,1.914,2,C,6,3.220000029,Sunnyside High,,*Biology-Ecol/ Evol & Orgnsmc,1,20104,1,F10,74798,3.0-3.4,1,1,800,410,390,M,256,"MAJOR: BIOLOGY-ECOLOGY, EVOLUTIONARY, AND ORGANISMAL BIOLOGY OPTION"
19,2.5-2.9,2,Male,Freshman,2.0-2.4,Hispanic,74798,15-29,Continuing,10,74798,E,Pell Grant Recipient,Psychology,PSYCH 10,1,Y,Hispanic,1,1,1,3,2.4,2,C,6,2.710000038,Firebaugh High,,Crim-Law Enforcement,1,20104,1,F10,74798,2.5-2.9,1,1,560,360,200,M,256,MAJOR: CRIMINOLOGY - LAW ENFORCEMENT OPTION
19,2.5-2.9,2.48,Male,Sophomore,2.0-2.4,Hispanic,74798,45-59,Continuing,10,74798,E,Pell Grant Recipient,Psychology,PSYCH 10,1,Y,Hispanic,1,0,1,2.31,2.508,2,C,6,2.819999933,Alisal High,,Crim-Corrections,1,20104,1,F10,74798,2.5-2.9,1,0,1030,540,490,M,256,MAJOR: CRIMINOLOGY - CORRECTIONS OPTION
20,2.5-2.9,2.73,Female,Sophomore,2.5-2.9,Asian,75077,45-59,Continuing,10,75077,E,Pell Grant Recipient,Psychology,PSYCH 10,1,N,Asian,1,1,1,2.77,2.734,2,C,6,2.940000057,Duncan (Erma) Polytechnical High,,Pre-Business,1,20104,1,F10,75077,2.5-2.9,1,1,790,390,400,F,254,MAJOR: PRE-BUSINESS
20,3.0-3.4,2.35,Male,Sophomore,2.0-2.4,Asian,75077,30-44,Continuing,10,75077,E,Pell Grant Recipient,Psychology,PSYCH 10,1,Y,Asian,1,1,1,2.8,2.617,2,C,6,3.319999933,Roosevelt High,,Civil Engineering,1,20104,1,F10,75077,3.0-3.4,1,1,770,410,360,M,254,MAJOR: CIVIL ENGINEERING
20,3.0-3.4,3.02,Female,Sophomore,3.0-3.4,Hispanic,75077,45-59,Continuing,10,75077,E,Pell Grant Recipient,Psychology,PSYCH 10,1,Y,Hispanic,1,1,1,3.25,3.069,1,D,3,3.470000029,Riverdale High,,Spanish,1,20104,0,F10,75077,3.0-3.4,1,1,690,390,300,F,254,MAJOR: SPANISH
19,2.5-2.9,3.14,Female,Junior,3.0-3.4,White,74798,75-89,Continuing,10,74798,E,Not,Psychology,PSYCH 10,1,N,White,,1,0,3.5,3.167,3,B,9,2.849999905,Bullard High,,Pre-Nursing,0,20104,1,F10,74798,2.5-2.9,1,0,890,470,420,F,256,MAJOR: PRE-NURSING
22,2.5-2.9,2.03,Male,Junior,2.0-2.4,White,75077,75-89,Continuing,10,75077,E,Not,Psychology,PSYCH 10,1,N,White,1,0,1,3,2.163,2,C,6,2.609999895,El Dorado High,,*Biology-Ecol/ Evol & Orgnsmc,0,20104,1,F10,75077,2.5-2.9,0,0,1050,560,490,M,254,"MAJOR: BIOLOGY-ECOLOGY, EVOLUTIONARY, AND ORGANISMAL BIOLOGY OPTION"
19,3.5-4.0,3.46,Female,Freshman,3.0-3.4,Unknown,74798,15-29,Continuing,10,74798,E,Pell Grant Recipient,Psychology,PSYCH 10,1,N,Unknown,0,1,1,3.38,3.421,3,B,9,3.950000048,Selma High,,Pre-Physical Therapy,1,20104,1,F10,74798,3.5-4.0,0,1,,,,F,256,MAJOR: INTERDISCIPLINARY HEALTH AND REHABILITATION SCIENCES - PRE-PHYSICAL THERAPY OPTION
19,3.5-4.0,3.76,Female,Sophomore,3.5-4.0,Asian,74798,30-44,Continuing,10,74798,E,Pell Grant Recipient,Psychology,PSYCH 10,1,N,Asian,1,1,1,4,3.827,4,A,12,3.829999924,Selma High,,Pre-Physical Therapy,1,20104,1,F10,74798,3.5-4.0,0,0,,,,F,256,MAJOR: INTERDISCIPLINARY HEALTH AND REHABILITATION SCIENCES - PRE-PHYSICAL THERAPY OPTION
19,3.5-4.0,0,Male,Freshman,0.0-.4,Hispanic,74798,15-29,Continuing,10,74798,E,Pell Grant Recipient,Psychology,PSYCH 10,1,N,Hispanic,1,1,1,2.56,2.563,2,C,6,3.599999905,Firebaugh High,,English Education,1,20104,1,F10,74798,3.5-4.0,0,0,1290,670,620,M,256,MAJOR: ENGLISH - ENGLISH EDUCATION OPTION
19,2.5-2.9,3.33,Male,Freshman,3.0-3.4,Hispanic,74798,15-29,Continuing,10,74798,E,Pell Grant Recipient,Psychology,PSYCH 10,1,N,Hispanic,1,1,1,2,2.8,2,C,6,2.819999933,Redwood High,,Pre-Physical Therapy,1,20104,1,F10,74798,2.5-2.9,1,1,840,500,340,M,256,MAJOR: INTERDISCIPLINARY HEALTH AND REHABILITATION SCIENCES - PRE-PHYSICAL THERAPY OPTION
20,3.5-4.0,2.26,Male,Sophomore,2.0-2.4,Asian,74798,30-44,Continuing,10,74798,E,Pell Grant Recipient,Psychology,PSYCH 10,1,N,Asian,1,1,1,2.85,2.393,2,C,6,3.539999962,Herbert Hoover High,,Pre-Psychology,1,20104,1,F10,74798,3.5-4.0,1,1,,,,M,256,MAJOR: PRE-PSYCHOLOGY
28,Unknown,3.11,Female,Senior,3.0-3.4,White,75077,120-139,Returning,10,75077,E,Not,Psychology,PSYCH 10,3,N,White,1,1,0,2.43,3.083,3,B,9,,Chaffey Community College,,Interior Design,0,20104,1,F10,75077,Unknown,0,0,,,,F,254,MAJOR: INTERIOR DESIGN
